"Step","DDQN_good_disc - win","non_det_DDQN_run_1747653794 - win__MIN","non_det_DDQN_run_1747653794 - win__MAX"
"4957","0","0","0"
"4958","0","0","0"
"4959","0","0","0"
"4961","0","0","0"
"4963","0","0","0"
"4968","0","0","0"
"4969","0","0","0"
"4976","0","0","0"
"4982","0","0","0"
"4989","0","0","0"
"4991","0","0","0"
"4994","0","0","0"
"4997","0","0","0"
"4999","0","0","0"
"5001","0","0","0"
"5007","0","0","0"
"5012","0","0","0"
"5027","0","0","0"
"5028","0","0","0"
"5046","0","0","0"
"5058","0","0","0"
"5059","0","0","0"
"5063","0","0","0"
"5074","0","0","0"
"5083","0","0","0"
"5090","0","0","0"
"5091","0","0","0"
"5092","0","0","0"
"5099","0","0","0"
"5101","0","0","0"
"5105","0","0","0"
"5110","0","0","0"
"5115","0","0","0"
"5116","0","0","0"
"5128","0","0","0"
"5137","0","0","0"
"5139","0","0","0"
"5148","0","0","0"
"5157","0","0","0"
"5159","0","0","0"
"5162","0","0","0"
"5171","0","0","0"
"5173","0","0","0"
"5191","0","0","0"
"5194","0","0","0"
"5199","0","0","0"
"5206","0","0","0"
"5208","0","0","0"
"5227","0","0","0"
"5234","0","0","0"
"5242","0","0","0"
"5243","0","0","0"
"5244","0","0","0"
"5248","0","0","0"
"5251","0","0","0"
"5254","0","0","0"
"5255","0","0","0"
"5263","0","0","0"
"5273","0","0","0"
"5281","0","0","0"
"5285","0","0","0"
"5293","0","0","0"
"5305","0","0","0"
"5306","0","0","0"
"5308","0","0","0"
"5317","0","0","0"
"5319","0","0","0"
"5324","0","0","0"
"5328","0","0","0"
"5329","0","0","0"
"5332","0","0","0"
"5335","0","0","0"
"5339","0","0","0"
"5340","0","0","0"
"5343","0","0","0"
"5350","0","0","0"
"5352","0","0","0"
"5361","0","0","0"
"5363","0","0","0"
"5364","0","0","0"
"5370","0","0","0"
"5375","0","0","0"
"5381","0","0","0"
"5386","0","0","0"
"5387","0","0","0"
"5394","0","0","0"
"5396","0","0","0"
"5399","0","0","0"
"5402","0","0","0"
"5404","0","0","0"
"5416","0","0","0"
"5417","0","0","0"
"5418","0","0","0"
"5424","0","0","0"
"5426","0","0","0"
"5428","0","0","0"
"5432","0","0","0"
"5433","0","0","0"
"5436","0","0","0"
"5439","0","0","0"
"5441","0","0","0"
"5442","0","0","0"
"5446","0","0","0"
"5448","0","0","0"
"5451","0","0","0"
"5453","0","0","0"
"5462","0","0","0"
"5464","0","0","0"
"5469","0","0","0"
"5470","0","0","0"
"5476","0","0","0"
"5480","0","0","0"
"5481","0","0","0"
"5489","0","0","0"
"5492","0","0","0"
"5501","0","0","0"
"5510","0","0","0"
"5518","0","0","0"
"5535","0","0","0"
"5542","0","0","0"
"5544","0","0","0"
"5545","0","0","0"
"5546","0","0","0"
"5549","0","0","0"
"5552","0","0","0"
"5556","0","0","0"
"5559","0","0","0"
"5560","0","0","0"
"5570","0","0","0"
"5582","0","0","0"
"5590","0","0","0"
"5592","0","0","0"
"5596","0","0","0"
"5597","0","0","0"
"5598","0","0","0"
"5602","0","0","0"
"5608","0","0","0"
"5614","0","0","0"
"5620","0","0","0"
"5624","0","0","0"
"5626","0","0","0"
"5634","0","0","0"
"5637","0","0","0"
"5638","0","0","0"
"5640","0","0","0"
"5642","0","0","0"
"5653","0","0","0"
"5654","0","0","0"
"5658","0","0","0"
"5664","0","0","0"
"5666","0","0","0"
"5672","0","0","0"
"5699","0","0","0"
"5701","0","0","0"
"5707","0","0","0"
"5712","0","0","0"
"5713","0","0","0"
"5715","0","0","0"
"5728","0","0","0"
"5729","0","0","0"
"5733","0","0","0"
"5741","0","0","0"
"5746","0","0","0"
"5751","0","0","0"
"5758","0","0","0"
"5759","0","0","0"
"5765","0","0","0"
"5772","0","0","0"
"5776","0","0","0"
"5779","0","0","0"
"5781","0","0","0"
"5783","0","0","0"
"5786","0","0","0"
"5796","0","0","0"
"5803","0","0","0"
"5805","0","0","0"
"5811","0","0","0"
"5812","0","0","0"
"5816","0","0","0"
"5818","0","0","0"
"5825","0","0","0"
"5830","0","0","0"
"5832","0","0","0"
"5840","0","0","0"
"5846","0","0","0"
"5847","0","0","0"
"5851","0","0","0"
"5852","0","0","0"
"5853","0","0","0"
"5861","0","0","0"
"5868","0","0","0"
"5870","0","0","0"
"5877","0","0","0"
"5883","0","0","0"
"5889","0","0","0"
"5892","0","0","0"
"5900","0","0","0"
"5901","0","0","0"
"5908","0","0","0"
"5910","0","0","0"
"5915","0","0","0"
"5920","0","0","0"
"5922","0","0","0"
"5923","0","0","0"
"5929","0","0","0"
"5934","0","0","0"
"5936","0","0","0"
"5940","0","0","0"
"5948","0","0","0"
"5958","0","0","0"
"5966","0","0","0"
"5967","0","0","0"
"5971","0","0","0"
"5985","0","0","0"
"5992","0","0","0"
"5995","0","0","0"
"6008","0","0","0"
"6020","0","0","0"
"6024","0","0","0"
"6029","0","0","0"
"6033","0","0","0"
"6038","0","0","0"
"6039","0","0","0"
"6042","0","0","0"
"6047","0","0","0"
"6048","0","0","0"
"6050","0","0","0"
"6052","0","0","0"
"6060","0","0","0"
"6063","0","0","0"
"6064","0","0","0"
"6081","0","0","0"
"6083","0","0","0"
"6097","0","0","0"
"6098","0","0","0"
"6113","0","0","0"
"6116","0","0","0"
"6118","0","0","0"
"6119","0","0","0"
"6121","0","0","0"
"6122","0","0","0"
"6124","0","0","0"
"6132","0","0","0"
"6142","0","0","0"
"6160","0","0","0"
"6166","0","0","0"
"6167","0","0","0"
"6168","0","0","0"
"6178","0","0","0"
"6184","0","0","0"
"6192","0","0","0"
"6222","0","0","0"
"6224","0","0","0"
"6234","0","0","0"
"6248","0","0","0"
"6250","0","0","0"
"6251","0","0","0"
"6255","0","0","0"
"6258","0","0","0"
"6261","0","0","0"
"6262","0","0","0"
"6265","0","0","0"
"6268","0","0","0"
"6277","0","0","0"
"6282","0","0","0"
"6283","0","0","0"
"6294","0","0","0"
"6299","0","0","0"
"6301","0","0","0"
"6304","0","0","0"
"6311","0","0","0"
"6313","0","0","0"
"6315","0","0","0"
"6316","0","0","0"
"6320","0","0","0"
"6328","0","0","0"
"6333","0","0","0"
