"Step","DQN_good_disc - total_reward","non_Det_DQN_discounted_run_1747653690 - total_reward__MIN","non_Det_DQN_discounted_run_1747653690 - total_reward__MAX"
"5288","0","0","0"
"5298","0","0","0"
"5309","-1","-1","-1"
"5311","-1","-1","-1"
"5312","-2","-2","-2"
"5318","-2","-2","-2"
"5323","-2","-2","-2"
"5325","1","1","1"
"5328","-2","-2","-2"
"5329","-2","-2","-2"
"5330","-2","-2","-2"
"5331","0","0","0"
"5335","11","11","11"
"5340","-2","-2","-2"
"5341","2","2","2"
"5346","-1","-1","-1"
"5352","-1","-1","-1"
"5354","-2","-2","-2"
"5370","-1","-1","-1"
"5377","0","0","0"
"5379","1","1","1"
"5387","-2","-2","-2"
"5398","0","0","0"
"5399","-1","-1","-1"
"5402","3","3","3"
"5405","-2","-2","-2"
"5408","-2","-2","-2"
"5423","0","0","0"
"5427","-2","-2","-2"
"5433","-2","-2","-2"
"5436","-2","-2","-2"
