"Step","DDQN_run_1747573335 - total_reward","DDQN_run_1747573335 - total_reward__MIN","DDQN_run_1747573335 - total_reward__MAX"
"4932","-1","-1","-1"
"4943","0","0","0"
"4946","-2","-2","-2"
"4947","-1","-1","-1"
"4954","-2","-2","-2"
"4955","7","7","7"
"4965","0","0","0"
"4969","-1","-1","-1"
"4971","-1","-1","-1"
"4976","-3","-3","-3"
"4985","-1","-1","-1"
"4986","-3","-3","-3"
"4987","1","1","1"
"4994","-1","-1","-1"
"5001","-2","-2","-2"
"5012","0","0","0"
"5014","-1","-1","-1"
"5016","-1","-1","-1"
"5019","-1","-1","-1"
"5027","-2","-2","-2"
"5035","-3","-3","-3"
"5036","1","1","1"
"5041","-1","-1","-1"
"5044","-2","-2","-2"
"5053","-1","-1","-1"
"5059","-3","-3","-3"
"5066","-3","-3","-3"
"5069","-2","-2","-2"
"5077","-2","-2","-2"
"5081","8","8","8"
"5083","2","2","2"
"5091","-3","-3","-3"
"5093","-3","-3","-3"
"5097","2","2","2"
"5100","-2","-2","-2"
"5103","1","1","1"
"5119","-3","-3","-3"
"5122","-2","-2","-2"
"5123","1","1","1"
"5127","-2","-2","-2"
"5129","-3","-3","-3"
"5143","-2","-2","-2"
"5144","2","2","2"
"5149","-1","-1","-1"
"5150","-1","-1","-1"
"5160","2","2","2"
"5168","1","1","1"
"5174","-2","-2","-2"
"5175","2","2","2"
"5176","0","0","0"
"5179","3","3","3"
"5192","-1","-1","-1"
"5199","8","8","8"
"5202","-3","-3","-3"
"5217","-1","-1","-1"
"5218","-2","-2","-2"
"5219","-2","-2","-2"
"5220","0","0","0"
"5222","6","6","6"
"5224","4","4","4"
"5230","-2","-2","-2"
"5233","0","0","0"
"5238","-2","-2","-2"
"5246","-2","-2","-2"
"5266","-1","-1","-1"
"5270","-2","-2","-2"
"5280","-2","-2","-2"
"5286","6","6","6"
"5289","0","0","0"
"5291","0","0","0"
"5305","-1","-1","-1"
"5315","2","2","2"
"5317","-2","-2","-2"
"5329","-1","-1","-1"
"5330","-2","-2","-2"
"5338","-1","-1","-1"
"5339","-1","-1","-1"
"5341","-1","-1","-1"
"5353","-2","-2","-2"
"5367","0","0","0"
"5368","0","0","0"
"5376","-3","-3","-3"
"5377","-1","-1","-1"
"5379","0","0","0"
"5389","-1","-1","-1"
"5396","2","2","2"
"5403","-3","-3","-3"
"5413","0","0","0"
"5418","3","3","3"
"5435","-1","-1","-1"
"5437","-1","-1","-1"
"5443","-3","-3","-3"
"5444","6","6","6"
"5445","-3","-3","-3"
"5447","-1","-1","-1"
"5457","0","0","0"
"5461","-2","-2","-2"
"5463","0","0","0"
"5467","-2","-2","-2"
"5470","-1","-1","-1"
"5481","-2","-2","-2"
"5482","-1","-1","-1"
"5485","-3","-3","-3"
"5494","5","5","5"
"5503","-2","-2","-2"
"5505","-3","-3","-3"
"5511","0","0","0"
"5513","2","2","2"
"5520","-1","-1","-1"
"5521","0","0","0"
"5525","-1","-1","-1"
"5532","1","1","1"
"5535","-2","-2","-2"
"5537","0","0","0"
"5544","-1","-1","-1"
"5553","-2","-2","-2"
"5555","-1","-1","-1"
"5556","7","7","7"
"5557","-1","-1","-1"
"5561","-3","-3","-3"
"5581","1","1","1"
